Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1410,SINTEX,EQ,15902230,8469431,53.26
20,1411,SIRCA,EQ,5026,3259,64.84
20,1412,SIS,EQ,2667,1278,47.92
20,1413,SITINET,EQ,422052,297778,70.55
20,1414,SIYSIL,EQ,5693,3679,64.62
20,1415,SJVN,EQ,381696,232776,60.98
20,1416,SKFINDIA,EQ,4517,2048,45.34
20,1417,SKIPPER,EQ,9091,7754,85.29
20,1418,SKMEGGPROD,EQ,11896,10333,86.86
20,1419,SKSTEXTILE,SM,1000,1000,100.00
20,1420,SMARTLINK,EQ,27362,9176,33.54
20,1421,SMLISUZU,EQ,297095,36475,12.28
20,1422,SMSLIFE,EQ,1629,1182,72.56
20,1423,SMSPHARMA,EQ,22251,14971,67.28
20,1424,SMVD,SM,2000,2000,100.00
20,1425,SNOWMAN,EQ,172444,88148,51.12
20,1426,SOBHA,EQ,139334,60865,43.68
20,1427,SOFTTECH,SM,6400,6400,100.00
20,1428,SOLARA,EQ,17971,13930,77.51
20,1429,SOLARINDS,EQ,2965,1990,67.12
20,1430,SOMANYCERA,EQ,267026,182857,68.48
20,1431,SOMICONVEY,EQ,2151,1768,82.19
20,1432,SONAHISONA,SM,10000,10000,100.00
20,1433,SONAMCLOCK,SM,15000,15000,100.00
20,1434,SONATSOFTW,EQ,27096,17077,63.02
20,1435,SORILINFRA,EQ,79123,32434,40.99
20,1436,SOTL,EQ,626,228,36.42
20,1437,SOUTHBANK,EQ,1705248,984665,57.74
20,1438,SOUTHWEST,EQ,50402,25201,50.00
20,1439,SPAL,EQ,13234,9412,71.12
20,1440,SPANDANA,EQ,36867,20558,55.76
20,1441,SPARC,EQ,869954,229073,26.33
20,1442,SPECIALITY,EQ,124113,90244,72.71
20,1443,SPENCERS,EQ,93240,59071,63.35
20,1444,SPIC,EQ,24729,20460,82.74
20,1445,SPICEJET,EQ,2096847,872194,41.60
20,1446,SPLIL,EQ,24635,16364,66.43
20,1447,SPMLINFRA,EQ,11113,9523,85.69
20,1448,SPTL,EQ,25636551,9627931,37.56
20,1449,SREEL,EQ,4132,3398,82.24
20,1450,SREIBNPNCD,NJ,352,332,94.32
20,1451,SREIBNPNCD,NP,40,40,100.00
20,1452,SREIBNPNCD,NQ,38,38,100.00
20,1453,SREINFRA,EQ,873096,624398,71.52
20,1454,SREINFRA,Y1,200,200,100.00
20,1455,SREINFRA,Y2,57,57,100.00
20,1456,SREINFRA,Y6,26,26,100.00
20,1457,SRF,EQ,183074,43928,23.99
20,1458,SRHHYPOLTD,EQ,5360,4535,84.61
20,1459,SRIPIPES,EQ,40118,28197,70.29
20,1460,SRTRANSFIN,EQ,964597,413797,42.90
20,1461,SRTRANSFIN,YG,250,250,100.00
20,1462,SRTRANSFIN,YH,80,75,93.75
20,1463,SRTRANSFIN,YI,25,25,100.00
20,1464,SRTRANSFIN,YJ,25,25,100.00
20,1465,SRTRANSFIN,YK,75,75,100.00
20,1466,SRTRANSFIN,YL,1025,1000,97.56
20,1467,SRTRANSFIN,YM,25,25,100.00
20,1468,SRTRANSFIN,YN,175,125,71.43
20,1469,SRTRANSFIN,YO,25,25,100.00
20,1470,SRTRANSFIN,YP,25,25,100.00
20,1471,SRTRANSFIN,YQ,225,225,100.00
20,1472,SRTRANSFIN,YR,25,25,100.00
20,1473,SRTRANSFIN,YS,25,25,100.00
20,1474,SRTRANSFIN,YT,25,25,100.00
20,1475,SRTRANSFIN,YU,25,25,100.00
20,1476,SRTRANSFIN,YV,25,25,100.00
20,1477,SRTRANSFIN,YW,25,25,100.00
20,1478,SRTRANSFIN,YX,77,77,100.00
20,1479,SRTRANSFIN,YY,25,25,100.00
20,1480,SRTRANSFIN,YZ,69,69,100.00
20,1481,SRTRANSFIN,Z1,25,25,100.00
20,1482,SRTRANSFIN,Z2,125,100,80.00
20,1483,SRTRANSFIN,Z3,41,41,100.00
20,1484,SRTRANSFIN,Z6,25,25,100.00
20,1485,SRTRANSFIN,Z7,25,25,100.00
20,1486,SRTRANSFIN,Z8,25,25,100.00
20,1487,SRTRANSFIN,Z9,25,25,100.00
20,1488,SSWL,EQ,3986,2303,57.78
20,1489,STAMPEDE,EQ,2436283,1410116,57.88
20,1490,STAN,DR,2167,1074,49.56
20,1491,STAR,EQ,232953,43196,18.54
20,1492,STARCEMENT,EQ,49366,29240,59.23
20,1493,STARPAPER,EQ,97851,39785,40.66
20,1494,STEELCITY,EQ,441,434,98.41
20,1495,STEL,EQ,11467,7888,68.79
20,1496,STERTOOLS,EQ,11456,7135,62.28
20,1497,STRTECH,EQ,585699,226275,38.63
20,1498,SUBEX,EQ,1395932,963291,69.01
20,1499,SUBROS,EQ,29692,13234,44.57
20,1500,SUDARSCHEM,EQ,103692,58912,56.81
20,1501,SUMIT,EQ,77637,77615,99.97
