Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
JUSTDIAL,776.00,781.50,759.60,774.00,3.25,0.42,819.70,409.15,36.69,7.02,31-DEC-2999,-
KAJARIACER,560.55,569.60,551.20,560.85,-0.70,-0.12,649.65,310.00,21.87,-10.79,31-DEC-2999,-
KOTAKBANK,1513.40,1513.40,1470.05,1475.80,-41.40,-2.73,1555.90,1002.20,8.12,-2.54,31-DEC-2999,-
LICHSGFIN,565.50,568.70,544.05,553.00,-13.60,-2.40,587.00,387.60,16.27,-0.98,31-DEC-2999,-
LT,1549.90,1551.25,1461.55,1492.35,-66.00,-4.24,1607.00,1182.50,18.96,-1.55,31-DEC-2999,-
L&TFH,125.40,125.40,119.25,121.40,-2.65,-2.14,189.50,106.30,-17.10,-4.11,31-DEC-2999,-
LUPIN,725.00,740.65,725.00,733.75,-1.95,-0.27,986.10,697.20,-20.47,0.20,31-DEC-2999,-
MANAPPURAM,136.30,136.45,128.80,129.90,-6.20,-4.56,144.95,66.25,31.88,-5.70,27-MAY-2019,INTERIM DIVIDEND - RE 0.55 PER SHARE
MARICO,377.50,377.85,370.00,370.00,-8.80,-2.32,396.60,282.95,7.03,-1.29,31-DEC-2999,-
MARUTI,6280.10,6283.15,5985.65,6052.85,-307.15,-4.83,9929.00,5985.65,-35.24,-13.39,31-DEC-2999,-
MCDOWELL-N,575.10,585.40,567.65,579.35,-1.15,-0.20,676.60,438.20,-7.93,4.02,31-DEC-2999,-
MCX,853.00,853.00,805.50,817.05,-31.00,-3.66,917.95,643.50,10.79,1.95,31-DEC-2999,-
MFSL,412.55,416.50,398.70,400.45,-15.75,-3.78,534.00,350.00,-4.56,-10.04,31-DEC-2999,-
MGL,809.80,815.50,789.35,793.00,-15.90,-1.97,1067.25,756.00,-2.29,-9.29,31-DEC-2999,-
MINDTREE,850.10,855.35,759.00,772.50,-92.05,-10.65,1183.80,752.15,-22.65,-19.96,08-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 4 PER SHARE/SPECIAL DIVIDEND RS 20 PER SHARE
M&M,640.35,645.20,626.20,635.85,-6.20,-0.97,993.00,597.20,-30.31,0.28,31-DEC-2999,-
M&MFIN,402.20,402.95,387.60,391.50,-5.80,-1.46,526.85,342.65,-14.73,-6.10,31-DEC-2999,-
MOTHERSUMI,121.00,121.30,116.50,118.40,-4.50,-3.66,218.00,111.65,-59.71,3.77,31-DEC-2999,-
MRF,55712.00,55712.00,54402.85,54543.20,-1459.95,-2.61,81190.95,51586.30,-27.74,-2.26,31-DEC-2999,-
MUTHOOTFIN,628.75,628.75,598.15,602.00,-23.70,-3.79,656.40,356.00,47.10,-4.85,11-APR-2019,INTERIM DIVIDEND - RS 12 PER SHARE
NATIONALUM,48.60,48.70,47.25,47.80,-1.00,-2.05,78.45,46.20,-20.00,-2.55,31-DEC-2999,-
NBCC,56.95,56.95,53.55,54.20,-3.40,-5.90,79.60,47.20,-21.28,-10.86,31-DEC-2999,-
NCC,95.15,96.20,92.30,93.45,-2.20,-2.30,119.20,63.25,-1.27,-2.25,31-DEC-2999,-
NESTLEIND,11929.00,11929.00,11752.00,11770.20,-186.70,-1.56,12023.25,9047.05,18.21,1.44,06-MAY-2019,INTERIM DIVIDEND - RS 23 PER SHARE
NIITTECH,1317.00,1318.00,1303.75,1315.10,-8.40,-0.63,1425.20,1022.00,20.21,0.23,31-DEC-2999,-
NMDC,110.60,111.80,105.40,106.90,-3.70,-3.35,124.40,88.60,3.79,3.09,31-DEC-2999,-
NTPC,136.60,136.60,128.55,129.20,-7.30,-5.35,146.17,106.67,-15.08,-5.38,31-DEC-2999,-
OFSS,3260.00,3269.00,3207.00,3236.90,-56.65,-1.72,4658.40,3020.45,-16.36,-3.05,31-DEC-2999,-
OIL,172.90,173.90,165.35,168.45,-5.05,-2.91,227.00,165.10,-18.09,-6.29,31-DEC-2999,-
ONGC,161.45,161.50,151.05,152.50,-9.00,-5.57,185.40,127.60,-2.49,-9.98,31-DEC-2999,-
